codeswitch_sentence,languages
لانه عندهم قصة هم برضو مختلفة فال designers,Saudi-English
طلبنا من urth cafe designers اللي عندهم يتعاملون معاه طلع بروفيسور,Saudi-English
اء part time يشتغل في اوقات الفراغ هو بروفيسور فالجامعة,Saudi-English
مهندس بروفيسور architect ok مصمم فالجامعة لما تعاملنا معاه,Saudi-English
قلنا طب هل احنا نبغاه again نفس urth cafe هذاك يمشي في امريكا,Saudi-English
مو شرط اللي يمشي في اي مكان او في بلد معين او في city معينة بالضروري بنفس ال design يمشي عندنا,Saudi-English
ok وتكلمنا معاه وسوينا وب يعني بدينا بدايات بسيطة فقط كنا مرة في coya في دبي,Saudi-English
جميل و و الى اخره مين المصمم هذا تعرفنا عليه لقيناه sagrada group richard المصمم كلمناه,Saudi-English
قلنا نبغى تسوي معاك cafe قال انا سويت مطاعم كثيرة انا سويت كل lpm اللي فالعالم سويت كل coya اللي فالعالم سويت مطاعم مرة كثيرة,Saudi-English
ok بس cafe سويت فنادق بس cafe ماقد سويت,Saudi-English
قالوا طيب هذي urth cafe في كاليفورنيا مختلفة التفكير مختلف its home its add natural عمره اربعين سنة فيه history فيه story behind it its not a normal cafe as you think,Saudi-English
قلنا له تعرف هو من بريطاني ساكن في لندن قلنا له تعرف قال لا ما اعرف urth cafe يعني i never been to urth cafe,Saudi-English
لمدة اسبوعين تزور urth cafe بيستقبلونك هناك الجماعة,Saudi-English
بياخذوك على كل فروع urth cafe وتفهم وتستوعب the brand,Saudi-English
باصمم لكم urth cafe قلنا له ممتاز urth cafe is a next bendable,Saudi-English
ونبغى نتوسع فيه قلنا له عشان يكون عندك ال vision هذي from day one,Saudi-English
احنا بنوقع معك master agree,Saudi-English
وقعنا معاه master agreement لكل urth cafe من ال kiosks,Saudi-English
الى اللي هي kiosks اللي هي صغار ال ال,Saudi-English
ال الفروع المؤقتةالفروع المؤقتة والصغيرة الى الفروع الكبيرة ok,Saudi-English
وليش لانه نبغى من البداية يبدا يفكر انه urth cafe الفرع الثاني مايشبه الاول لكن فيه نفس الروح touches ما يبدا يفكر في واحد ومايفكر للمستقبل,Saudi-English
فيعمل حساباته من البداية وقعنا master agreement,Saudi-English
مع انه يوقع لنا انه يصمم لنا urth والله وفعلا راح والحمدلله فتحنا urth cafe اللي فالتحلية,Saudi-English
بداية التحلية قريب من الضباب اء كا كا اول urth cafe هذا الكلام في may الفين وسبعطعش,Saudi-English
الان اربع طعشر فرع في urth cafe اجمالي including دبي جدة الخبر الرياض,Saudi-English
اء نوزومي pop up هناك,Saudi-English
انا لمن عرفت رفعت السماعة على يعني ابو سعود من غير ما اذكر ok يمكن ما يبغى,Saudi-English
قلت والله العظيم هذي قالي طب فيه مانع ال agreement,Saudi-English
قلت لا طبعا هذي ال copy من ال agreement تفضل فالمطعم الام وقع معاهم وقع معاهم مع فهد مع فهد,Saudi-English
saudi arabia ksa كذا مذكورة saudi arabia ksa kingdom of saudi arabia ksa,Saudi-English
ok ما ماقدروا يلاحقوه ولا يجيبوا شيء خلاص العوض الله يعوض الله يعوض,Saudi-English
ما عاد فيه الرجال هذا وهذاك قفل اصلا المطعم الاساسي اللي فلندن قفل في ال june may الفين وخمسطعش احنا فتحنا في سبتمبر الفين واربعطعش,Saudi-English
احنا حتى ما جانا العلم ولا الخبر ولا بلغنا وليش لان فال agreement عندنا وش تقول,Saudi-English
based on نوزومي لندن فكل شيء مرتبط بنوزومي لندن فهو مايبغى يبلغنا,Saudi-English
قال لا انا مختلف مع ال land lord والحين استاجرت موقع ثاني وجالس انقل ok جالس ينقل خلاص الرجال جالس ينقل,Saudi-English
سا كانت قصة عجيبة وهذي كانت شرارة ال real banding ايوه لمن تواصلنا معاه على جدة قلنا له انت وقعت في جدة,Saudi-English
انت سويت breach جيت انت ما بتضيف لل brand عندنا ولا شيء لما فتح هو في قطر,Saudi-English
ما كان عنده نوزومي لندن و وقع في الفردان في kempinski في في قطر,Saudi-English
مسؤولية ولا شيء مسؤولية ولا لنا income ولا fees ولا شيء تدربوا عندنا موظفين,Saudi-English
ولا اخذنا منه ولا شيء for the sake of the relation العلاقة لانه الشراكة هي الشراكة هي شراكة طويلة الامد فانت تفكر فيها مع شريكك ماتفكر فيها في خلافات من البداية,Saudi-English
قلنا له هنا كانت هذي في october الفين وسبعطعش,Saudi-English
ايقاف العقد لسبب اسباب ال breach اللي انت قاعد تسويها,Saudi-English
اولا نوزومي لندن does not exist فال فالاتفاقية غير مفعلة,Saudi-English
طيب ومافيه اي zero support ولا فيه system كل الاشياء اللي تنص عليها ال franchise هذي zero ماهي قاعدة تجي,Saudi-English
نص ال menu اللي تشوفه from day one تطويرنا حنا,Saudi-English
ok انه لمن نطور اشياء معينة اللي هي ال best sellers اليوم في ميازو واللي كانت في نوزومي هذي تطويرنا احنا ما اخذناها من,Saudi-English
على brand جديد,Saudi-English
ال brand جديد هذا يحل محل مس,Saudi-English
فعينا شركة متخصصة فال branding,Saudi-English
اء كانت متخصصة فال fashion branding بالتحديد وليس فيه مجال المطاعم,Saudi-English
فال fashion branding boutique company very small company boutique مقرها في باريس في فرنسا,Saudi-English
سنتين لين ماسوينا full brand اسمه ميازو,Saudi-English
وميازو ما كان rebrand او rename سجلنا ميازو لانه فيه هدف عندنا وش هي الفكرة اللي عندنا موجودة انه ميازو باذذن الله يطلع فكل,Saudi-English
ان شاءالله نطلع وانه يطلع brand سعودي اسمه ميازو,Saudi-English
ل ماكان وقتها محدد الاسم بس انه يطلع brand سعودي يمثل زي ما لانه,Saudi-English
جاتنا الفكرة اللي هي الثانية انه زي ما احنا قاعدين نجيب من برا franchise,Saudi-English
بحيث انه يتاكد من اليابان الى امريكا عشان حتى ماحد يقول اخذتوا الاسم copy من اليابان الاسم,Saudi-English
we launched it في قبل الان ان شاءالله في ديسمبر نكمل ثلاث سنوات فيه ديسمبر عشرين عشرين,Saudi-English
اء سان كارلو شيكتي وقعنا له سان كارلو group اللي تملك سنيور ساسي اسمها سان كارلو group عندهم مجموعة مطاعم,Saudi-English
ok ب brands مختلفة هذي سان كارلو group احنا وقعنا مع سان كارلو group,Saudi-English
اء بين كارلو ال owner حق سان كارلو,Saudi-English
امريكانا فقال حتى لو ما فتحوا بس انا استحي اني اروح اطلبه release,Saudi-English
تواصل معانا قال الان خلاص تقدر تاخذه ال agreement لانهم يعني مافيه احد,Saudi-English
وقال ما لا يمكن ارجع له او اكلمه او ارفع عليه السماعة او احطه تحت pressure,Saudi-English
في محل نوزومي حق ال catering,Saudi-English
سبحان الله مكتبنا موجود فوق urth cafe اللي فالتحلية,Saudi-English
ok هذا كان حنا مستاجرين المبنى كامل فبالتالي يسهل علينا الادارة,Saudi-English
شلنا نوزومي catering طب وش نسوي فالموقع ايه,Saudi-English
ok ايش نسوي فالموقع الموقع حنا نفتح يا سلام فحطينا فالموقع عساس,Saudi-English
ماهو بنفس ال segment حقت ميازو ولانوزومي في ذاك الوقت its a casual كا هذولي الثلاثة,Saudi-English
فال فال group وعندك ستة براندات ثانية اللي جت بعدهم خسرانين,Saudi-English
ok يربحون وليش الستة الاخرين قاعدين يخسرون ok طبعا اء,Saudi-English
خدم ال brands هذيك بعدين لما جت كورونا,Saudi-English
ok هذي ال في عشرين عشرين جت كورونا اخر التسعطعش بس في عشرين عشرين,Saudi-English
ok المالي هذا اثرها المالي نقطة وبعدين يجي المعروض,Saudi-English
انت في سوق حر ماتقدر تجي تقول شركات لا تفتح مطعم وما تقدر تجي تقول تسوي zoning,Saudi-English
فالنهاية اقتصاد حر من حقه انه ياخذ تصريح ويفتح مطعم هو صاحب القرار ok فصار فيه معروض ومعروض من القطاع الخاص,Saudi-English
وال demand جالس يزيد بس بالتدريج,Saudi-English
طلب حجز في billionaire,Saudi-English
اء ماعرف سوي جربنا ال show بعدين لقينا comments كثيرة انه ال show,Saudi-English
اء ممل ومتكرر وقفنا ال show,Saudi-English
لمن وقفنا ال show الان تجينا طلبات انه رجعوا ال show,Saudi-English
الشركة اللي جايبينها عشان نسوي ال show هي شركة في اسبانيا,Saudi-English
هل المساحة الملمومة والناس سعر لما والسعر ok السعر في شيكتي,Saudi-English
السعر اقل من بليونير اقل من ميازو اقل من سنيور ساسي وغيرها من المطاعم,Saudi-English
فهو يعتبر casual,Saudi-English
اكثر من انه يعتبر fine dinning لكن ال quality اللي جالس اعطيك اياها,Saudi-English
نفس ال quality اللي جالس اعطيك اياها فسنيور ساسي ال ingredients اللي انا استخدمها,Saudi-English
هي نفس ال ingredients عملنا ما ناخذ نوعين من ال ingredients او two level من ال ingrediants,Saudi-English
very high quality ingredients بس نزل من cost of operation اقل انه مطعم اصغر فعدد موظفين اصغر فا,Saudi-English
بس مو ما رخصنا فال ingredients هي نفس ال ingredients فا بالنسبة للناس شيكتي value for money,Saudi-English
اربعة وثمانين طباخ ايه موب واي ما يشمل ال staff الخدمة,Saudi-English
ال ايش بس فال back of house فالمنطقة المطبخ,Saudi-English
اربعة وثمانين اربعة وثمانين وكم اللي يشتغلون في تقديم الخدمة ال total مية وثلاثة وخمسين شخص يشتغل في سنيور ساسي,Saudi-English
هذا اللي كلفكم اربعين مليون اربعين هذا هو ال record حقكم لانه هذي ارض,Saudi-English
وتم تطويرها على شكل فلة وجبنا richard,Saudi-English
قلنا له من day one نبغى نعطي ال expierence venetian,Saudi-English
هو مطعم ايطالي نبغى نسوي فلة سنيور ساسي ونعطيه التصميم انه فلة,Saudi-English
جاية مستوحاة من venice,Saudi-English
فهو صمم هذا richard اللي صمم لنا صمم فنادق في venice,Saudi-English
فبنينا الارض على هذا الاساس سوينا لها parking تحت full basement مساحة الارض الفين وسبع مية متر,Saudi-English
مباني الف ومية متر مسطح و full basement تحت,Saudi-English
ب menu فيه مية وثمانين item فال menu,Saudi-English
ok فيه varity كل يوم عندنا,Saudi-English
fully booked فالعشاء كل يوم اوه ما زال ما زال,Saudi-English
ايا كان ايام الاسبوع الذروة تسعة ونص الا ما تلاقيه fully booked ماشاءالله,Saudi-English
كويا لما كان مؤقت في جدة كان عليه اقبال هائل كان اكثر واحد نجح في موسم جدة احنا في موسم جدة شغلنا سنيور ساسي,Saudi-English
كا pop up زوما و كويا,Saudi-English
pop up سويناهم في موسم جدة في في نفس الوقت,Saudi-English
لكن ايرث كان already فاتح فالرياض,Saudi-English
فا هذي اربع مطاعم فتحناها جديدة ماهي موجودة كانت فالسعودية اكثر واحد كان عليه اقبال واكثر comments كان يجي كويا,Saudi-English
ولما فتحتوه لما فتحناه في dq فتحنا another pop up,Saudi-English
صحيح كان برضو pop up فال dq في عود سكوير ايه كان عليه اقبال بعدين قفلنا,Saudi-English
فتحنا الفرع الدائم وقعنا ال agreement فتحنا الفرع الدائم ماهو قاعد يحقق المطلوب فالبدايات تحقق,Saudi-English
بعدين نزل نزل ال demand شوي وليس ال,Saudi-English
بس فالبدايات جلس اول ست شهور fully booked كل يوم,Saudi-English
يوميا ماشاءالله تبارك الله demand بيف بار نفس الحكاية بيف بار نفس الشيء,Saudi-English
في قوقل تقييمه ثلاثة ونص اء صحيح هو اقل brand عندكم كتقييم صحيح,Saudi-English
وهذا ال case ينطب او هذي الحالة تنطبق على اغلب المطاعم,Saudi-English
ال demand ال varity طلعت,Saudi-English
ثاني شيء مو demand supply قصدك اء عفوا ال supply العرض العرض,Saudi-English
اء ال supply ارتفع مرة كثير ال supply المعروض,Saudi-English
فمن الطبيعي انه فتحت منطقة كبيرة وفيها مجموعة كبيرة من ال variety,Saudi-English
اء lasen vally ماشاءالله منطقة جديدة ومطورة وفيها مجموعة من المطاعم كافد,Saudi-English
ماشاءالله تبارك الله صار فيها مجموعة فا الرياض صارت والخزامى الفيصلية الخزامى الفيصلية عفوا فيها lpm فيه مامو فيه اء ميراكي فيه مجموعة,Saudi-English
اسماء كبيرة فيا الرياض الان برضو فيا رياض الان lately هي اخر هذا فيا رياض ماشاءالله تبارك الله جوا فوق العشر مطاعم او خمسطعشر مطعم,Saudi-English
موجود يعني واسماء كبيرة جاية من كاليفورنيا وجاية من امريكا وجاية من اوبرا اوروبا فاسماء يعني كلها international فا الشيء الطبيعي انا فيصل وانت عمر احنا كا زباين نبغى نروح نجرب,Saudi-English
ok ونسحب عالمكان القديم سواء اللي بليونير تسحب عالمكان ماتغير شيء في بليونير,Saudi-English
مع ال lock down او مع حضر التجول غشت القرارات الاستثمارية صح الكل اعطت انطباع full وطلب وزحمة,Saudi-English
ايه فالناس تحمست وهذولي فتحوا بعد سنتين من كورونا خلاص الناس هديت ايه الناس هديت شيء طبيعي والناس سافرت وصار ال budget او ميزانيته الشخصية,Saudi-English
بالضبط يسافر فيها وماعاد فيه rush,Saudi-English
فيه direct و indirect,Saudi-English
تتكلم ترا خمسة واربعين بالمية وخمسة وخمسين بالمية نساء اه مو كثير ظنيت اكثر لا وطبعا الرجال ما تستهين فيهم لانه الرجال انا اتكلم ك business ايه المطعم مهم,Saudi-English
لانه يدفع اكثر average per check حق الرجل اكثر من المراة,Saudi-English
ok بس اتكلم الحين business كا pure business الربح من الرجل ال male,Saudi-English
ال spending عندهم اعلى من ال female الرجال spending اعلى مافيه كلام فالمطاعم لانه ماشاءالله اكلهم اعلى ok ok,Saudi-English
انه الناس تربط ال drop اللي صار ب,Saudi-English
اء ففيه ناس تربط هذا ال drop او هذا التراجع اللي صاير فالمطاعم بسبب وجود المواسم,Saudi-English
الفترات الميتة فتلاقي مثلا winter wonderland اللي في لندن هو يصير في ذروة الشتاء ذروة الشتاء اسوء موسم اللي الناس ما تبغى تطلع ولا تبغى تروح الحديقة صنع هذا ال season ليخلق حراك واقتصاد في الفترة الميتة,Saudi-English
عطنا بالارقام اعطيك بالارقام كم ينزل مبيعاتكم فوقت ال season,Saudi-English
اء احيان وقت ال season يصير فيه drop ثلاثين بالمية,Saudi-English
ثلاثين بالمية خلال فترة بشكل بشكل عام انا اتكلم بس لا مطعم مطعم يفرق اكيد بس انا اتكلم بشكل عام ايه بشكل عام فهذا ال drop ينزل ينزل طيب على كامل السنة كم الزيادة,Saudi-English
احنا عندنا our own call center,Saudi-English
ok اكثر قبل ما انها بس عشان تستقطب من الخارج,Saudi-English
متحمل ال operation cost,Saudi-English
ايه يعني لا مدفوع فال agreement طيب اجل كلمنا عن تجربتكم انتم مع المواسم انتوا شاركتوا بموسم العلا موسم الرياض شاركنا في موسم العلا الفين وتسعطعش الفين وتسعطعش,Saudi-English
اء ناخذ نسبة من ال ناخذ ياخذوا النسبة مننا من ال revenue,Saudi-English
ok يشاركوك في ال revenue مقابل التقديم الخدمات مقابل تقديم الموقع,Saudi-English
ok وال team اللي كان يطلع عندنا احنا في وقتنا في نوزومي في طنطورة كان يطلع ال team من نوزومي جدة,Saudi-English
ok طلعنا الفريق العمل من نوزومي جدة لانه اقرب,Saudi-English
ايه المربح الاهم مشاركتنا ال marketing انه احنا شاركنا هناك,Saudi-English
يعني اقدر اقولك break even break even طيب ليش مستمر,Saudi-English
ايه منافسة فتحتاج خطة فيمكن مش الوضع ال ال financial position,Saudi-English
ok فا فا وضع الشركة وانا ك ceo للشركة او الشريك اداري فالشركة ما ماتوقع انه حي,Saudi-English
كانت ال feedback اللي تجينا من الناس حر,Saudi-English
بعض الناس مسافرين كمان بالاضافة الى ذلك ok فبالتالي كان الاقبال كويس ممتاز لكن مو اللي كنا نطمح له وش طبيعة العلاقة مع مع المواسم كنا فاتحين خمس مطاعم,Saudi-English
نسبة من الايرادات لكنك تاخذ الموقع مجانا ناخذ الموقع وال fees اللي كنا ندفعها لل franchisors كانت تروح direct لل franchisors يعني zuma ماخذ fees,Saudi-English
هذي اخذها زوما كويا ماخذ fees اخذها كويا نصرت ماخذ fees اخذها نصرت هل ربحت في هذي فالمجمل ايه ربحت ربحت ايه ربحت,Saudi-English
وما تكررت لان ال model او نموذج عمل عند المواسم تغير بالضبط يعني مثلا مثلا,Saudi-English
ايرث كافيه لانه فاتح فما كان فيه fees لايرث كافيه,Saudi-English
فايرث كافيه يعني اعطيك هيا انت دايما هي معادلة ايه overall ربحان ايرث كافيه خسرت,Saudi-English
لكن المجمل ربحان ok فتنظر لها كذا يعني هي وال business its its a bundle واليوم اصحاب المطاعم خلال فترة ال season او خلال فترة الموسم اللي يصير فيها نزول,Saudi-English
ولا لاتشارك خل اجازات موظفينك في فترة الموسم لانه فيه drop ثلاثين بالمية وش,Saudi-English
فترة الموسم فترة الموسم انك كون انك اقول لاحد روح شارك في الموسم هل عندك القدرة المقدرة الادارية وال operation التشغيلية,Saudi-English
ولا بتستخدم احد من ال team اللي عندك هذي يحدد النقطة كل شركة وشركة يختلف ان كان فقط بتوظف للموسم,Saudi-English
فقط لثلاث شهور pop up بغض النظر هو وينه ال pop up هذا ثلاث شهور pop up اكيد اكيد,Saudi-English
غير مجدي اقتصاديا لانك انت قاعد توظف فقط لثلاث شهور طب ما مداك تحط structure وتحط كابكس وتصرف,Saudi-English
ترا ال margins اذا نجحت وكل شيء تمام ال margin ماتتعدى خمسة,Saudi-English
خمسة بالمية عشرة بالمية يا ساتر تترا هذا اليوم مارجنكم في القطاع هذا القطا وين الفترة الذهبية الفين واربعطعش وخمسطعش لا كانت ال margins عشرين بالمية,Saudi-English
اكثر الفترة الذهبية ترا ما حتى ما يعني الى خمسة وعشرين اربع وعشرين بالمية ترا ما تتعداها ما تتعداها ال margins ماعمرك انت تتعداها,Saudi-English
بس الناس تعتقد انه تشوف الزحمة طب ما تربط تكلفة ال staff تكلفة ال accommodation تكلفة الرين تكلفة ال cost of food,Saudi-English
ok فبالتالي ما ماهو موجود فاذا انت بتشارك as pop,Saudi-English
ok مافيه انا ما انصح اذا ما كان,Saudi-English
جاية في ترتيب معين يغطي لك بس لو طلعت منها break even انت ممكن تستفيد marketing,Saudi-English
تستفيد اء خساير بسيطة تتحملها من اجل ال brands,Saudi-English
قاعدين تستغلون السعوديين ولا وش الفكرة لا والله بالعكس ليش هذا التفاوت ليش فيه ليش دايما الاسعار عندنا اغلى انت اول شيء عندك ال market price,Saudi-English
طال عمرك ال cost ال cost of food وال logistics واصلة عندنا السعودية اغلى شلون موب نفس المورد نفس المصدر ايه بس انت تخليص الجمركي شركات التخليص الجمركي حنا احنا ما نخلص بنفسنا,Saudi-English
احنا نعطي لشركات فانت ال suppliers اللي تتعامل معهم والمخلص الجمركي و الى اخره انت الين ماتوصلك المنتج الى مطعمك,Saudi-English
ال cost الى وصوله الى مطعمك او مقرك او مطبخك اعلى من ال cost في مكان ثاني ليش,Saudi-English
رسوم حكومية ولا وفرة خدمات ال process يطول شوي فبالتالي انت كل يوم تطول فيه ترا هو تكلفة على ال supplier,Saudi-English
ال اللي ال logistic company فبالتالي تكلفتهم مرتفعة,Saudi-English
فالسعودية اكثر من الخليج رقم واحد رقم اثنين رقم اثنين تكلفة انت لمن تسوي سياسة التسعير انت تبني سياستك التسعير ليش انت تبني انه تكلفة عادة عالميا تكلفة ال ال food cost,Saudi-English
انت ال gp ال gross profit عندك تكون طال عمرك من خمسة وسبعين الى ثمانين فال فالمجال ال fine dinning انا ماعرف ال qsr كم,Saudi-English
في تتكلم خمسة وسبعين الى ثمانين بالمية فانت هذي عشان تحقق ال parameters هذي ok فيجب انك تبني سياسة تسعيرك مبنية على الشيء هذا,Saudi-English
احنا ال staff cost عندنا عالميا فال fine dinning تتراوح من ستة وعشرين الى ثمانية وعشرين بالمية staff cost من اجمالي ال cost ال operation cost,Saudi-English
شلون انا موظف يجيني يداوم الساعة كذا فالمطعم يحضر ليش ماتطبق النظام هنا ماعندي ماقدر انا هنا في zonning للسكن,Saudi-English
هي مجموعة اشخاص ادارة كاملة اسمها ادارة ال admnistration ادارة ال admnistration تدير,Saudi-English
للسرير للسرير اليوم كانوا ساكنين قريب الى لدرجة اللي يبغى يجي بسيارة يجي او اللي يبغى يجي برجوله يجي بعدين صار فيه zonning,Saudi-English
zonning اللي هي اماكن محددة يسكنونها عمالة غيرها ممنوع غيرها ممنوع ارتفع اليوم الى ثلاثة وعشرين ريال,Saudi-English
فاحنا قلنا ماكان فيه مقابل مالي مقابل مالي ok اليوم فيه عندك مقابل مالي الشخص الاجنبي يكلفك,Saudi-English
طب ربحك كله مو تسعة مليون انت عندك الفين فا الفين بس فيه منهم سعوديين الاجمالي كم نسبة السعودة عندك فال head office,Saudi-English
فال total ال headoffice الالف وثمان مية هذولي كم منهم ستين بالمية السعودة بال head office,Saudi-English
في خارج ال head office انت لازم to maintain نسبة السعودة اللي هي تقريبا ثلاثين بالمية عشان تجلس على الاخضر,Saudi-English
انا الان عندي season اسمه اء فالسعودية زي ما تفضلت انت فالبداية الشتاء هو our season,Saudi-English
ok هذا جونا وطلعاتنا وروحاتنا جو يساعدنا على الخروج طب ابغى اوظف فالشتاء لان اعرف ان ال demand والطلب على المطاعم والاقبال يزيد ما اقدر انا العقود اللي اوقعها اقل شيء سنة او سنتين,Saudi-English
ما اقدر وبعدين يجيني رمضان dead مافيه احد فالمطاعم لانه الناس تتجمع فالبيوت وتفطر فالبيوت واذا بتطلع تروح للخيمة الرمضانية وانا منهم,Saudi-English
يجب انك فهذا اول عائق غيره ok هذا واحد الشيء العائق الثاني طال عمرك انه,Saudi-English
اء ال انك تاخذ جودة عالية من ال الموظفين ok ترا مو سهل عندنا فالسعودية,Saudi-English
انط تدفع مبالغ فانك تجيب اوروبيين مثلا على سبيل المثال ولا experience احنا مانقول اوروبيين نقول experience,Saudi-English
very experienced people وعدد كبير احنا نجيب,Saudi-English
بس مانجيب كل المطعم very experienced حتكون التكاليف جدا جدا جدا عالية لدرجة انه بجميع احوالها لو المطعم مليان صبح وليل غير مجدية ليش,Saudi-English
احنا عندنا المطاعم برا ال fine dinning وهذي تعتمد كثير على المشروبات الكحولية لانه ال margins وربحهم هو مو فالاكل,Saudi-English
كم تتوقع المطاعم ال fine dinning,Saudi-English
مبيعاتهم ايوه يعني اتذكر خمسة وخمسين فالمية من مبيعات مطاعم ال fine dinning كحول كحول وهذي وخمسة واربعين بالمية اكل,Saudi-English
اوه انت عندك ايش ال cost حقت الكحول,Saudi-English
كا cost نتكلم هل فيه chef مافيه chef,Saudi-English
انت عندك مخزون inventory ولمن يجي يقيمها المحاسب تزيد ما ت ما تنقص ال risk بالنسبة لهم انا اتكلم ك model,Saudi-English
انا بتكلم الحين ك model ايه ايه ما اتكلم كشريعة ودين صح هذا ايه فا,Saudi-English
ما فيه ال inventory يزيد المخزون ايه المخزون يزيد قيمته زي اللي عنده cigar اللي مشتريه من ثلاث سنوات اليوم زاد قيمته ok,Saudi-English
انت فالاكل لا انت مخزونك هذا بالعكس تنضر,Saudi-English
لان مخزونك له expiration,Saudi-English
كا revenue كايرادات كايرادات طيب كربحية كا ربحية الكحول ثلاثين بالمية out line صافي,Saudi-English
ايه ربحه من الكحول انا ارفع سعري فالمقارنة غير عادلة ok فيه هنا فاللي قادر يجيب هذا المستوى من من مقدمي الخدمة,Saudi-English
ثاني شيء التكلفة عنده اليوم انا لو ابغى اجيب ايطالي انا لو ابغى اجيب waiter ايطالي يكلفني فالشهر عشر الالاف ريال تعرف في دبي كم يدفع كم خمس الالاف ريال ليش,Saudi-English
ok قلنا ok ما عندنا مانع خلاص يتحول يروح تماما كم يستلموا عندكم هذا اللي يستلم هذا الرواتب اللي عندنا قال لالا شكرا خلون مانبيكم انت حتخرب رواتب اللي عندنا احنا ترا يستلم نص السعر,Saudi-English
بس يعني الزيادة هذي اذا هي رسوم حكومية فهي اصلا ماتنعكس على ال payroll,Saudi-English
لا ماتنعكس على ال payroll هذي انا اتكلم معاك يكلفنا التكلفة ايه التكلفة تشمل احنا اللي ندفع عنه التكلفة الاجمالية يكلفنا يعني مثلا اللي هو يستلمه فيه جيبه ثمانية الالاف ريال,Saudi-English
ok واحنا التكلفة طالعة علينا تكلفته الاجمالية طالعة علينا عشرة الالاف ريال,Saudi-English
هذا انا بقولك latin americans على سبيل المثال ايه ok هذي يعني case وعلى طاري الرواتب فيه اسئلة جتنا من انكم توظفون السعوديين نفس المهمة,Saudi-English
احنا عندنا سلم موحد يعني يمكن هو ما عنده خبر احنا عندنا سلم موحد اذا كان runners ما طبعا انا اتكلم بشكل عام ما اتكلم سعوديين اييه runners هذا سلم رواتبهم waiters هذا سلم رواتبهم head waiters هذا سلم رواتبهم,Saudi-English
اء floor manager هذا سلم ما فيه اي تقسيم فالجنسية ما فيه اي وين يفرق ايوه يا سلام كل الاجانب يشتغلون عندنا ست ايام اصلا لو صارت خمسة ايام كارثة نقفل,Saudi-English
من بكرة انا اقولك اياها ما مافيه ما خلاص غير مجدية ابدا تصير,Saudi-English
ok نعرض بغض النظر سعودي او غير سعودي اي واحد خمس ايام نعرض عليه انه ترا بنروح لست ايام وتجيك زيادة بسيطة,Saudi-English
لانه انت كمان تبغى تنظر الى ال efficiency انا قلت لك الان لما انت تكون خسران في سنين متتالية ورا بعض واجب عليك,Saudi-English
خفض خسايرك وتكون efficient عشان تقدر تكمل وتصير five,Saudi-English
فواجب علينا انه نستمر وبصورة حسنة طيب خليني اسوي ابو عبدالله اسف zoom out ايه ونشوف المشهد من بعيد كا كا كصورة كبيرة صحيح,Saudi-English
لكم ك group بما انكم عندكم هذي التجربة,Saudi-English
ال average per check او ال متوسط الفاتورة متوسط الفاتورة,Saudi-English
مية وتسعين ريال فشيكتي انا اعطيك هذي as of yesterday حلو طيب,Saudi-English
وليس فالسعودية فالعالم وماشاءالله تبارك الله يوجد عندهم بيوت تجارية كبيرة جدا لكن احنا نتكلم كا behaviour صحيح يسموه spending behaviour ok,Saudi-English
انا اطلع لهم ال يوميا تطلع سيارة من الرياض من عند سنيور ساسي لانه عندنا احنا المطعم الوحيد اللي نسويه fresh كل الموزاريلا حقتنا اللي تشوفها وكل انواع ال cheesse,Saudi-English
تطلع fresh كل يوم من الموزاريلا room حقتنا معلومة ما احد يعرفها المطعم الوحيد يمكن في دبي مافيه مطعم ثاني يسوي موزاريلا fresh موزاريلا,Saudi-English
احنا بس نستورد ال buffalo milk,Saudi-English
وال cow milk من ايطاليا والجبنة تطلع عندنا fresh يوميا فاللي تقدم اللي تشوفها في المطاعم عندنا مدتها ساعتين,Saudi-English
ما شاء الله نرسل سيارة يوميا تطلع توصل ال cheeses فهذا جواب على سؤال ليش الاحجام عن الخبر والشرقية مو احجام مافيه احجام,Saudi-English
بس عدم توسع ماهو جاذب حنا ليش افتح فالرياض اول ل ال وثاني شيء المطاعم تحتاج اشراف يومي,Saudi-English
اشراف يومي ترا its a passion ماتقدر ترا مثل الطفل الصغير تقدر يجيك عندك طفل صغير وتهمله ماتقدر,Saudi-English
اء صار فيه activation من ال land lord اللي موجود انا في city walk two,Saudi-English
صار فيه ضغط مع ال land lord activation نزل لنا الايجارات,Saudi-English
فبالتالي خفف من خسائري فبدا يصير فيه ايجابية efficiency فال operation كملت خمس سنين في دبي,Saudi-English
ok واحد من هالاثنين فا فصار فيه efficiency بس اليوم اليوم المستثمر اللي يبغى يبدا,Saudi-English
ال ال الشريحة حقت مطاعمكم مطاعم ال fine dinning او ال upper casual,Saudi-English
فيه ال risk اذا ما معاك local partner فيه شوية risk,Saudi-English
وفيه مدن اخرى ترا احنا المنطقة الجنوبية ترا حسب الدراسات بس مو عال fine dinning مافيه fine dinning بس حسب الدراسات اقوى قوة شرائية,Saudi-English
اقوى من الرياض اقوى من الرياض كيف على فالقوة الشرائية ايه ال spending لانه طبع ايييه ففيه spending يعني راحوا اربعة يطلبون حق ستة ايه,Saudi-English
its a culture عادات وتقاليد في ابها بس ما فتحوا ولا شي في ابها,Saudi-English
انتم لسى ما فتحنا لان logistically ما شاء الله المملكة العربية السعودية كبيرة ايه فانت لما تتكلم تسافر من جدة للرياض,Saudi-English
